STCTNAME,FIELD_NAME,API_CRUDE,SRC,CRN,SU100,POUR_POINT,CAR_CR_WT,LT_GAS_VOL,GAS_NP_VOL,RESDUM_VOL,TIPO_CRUDO,CLASE_AZUFRE
OKLAHOMA,BARNSDALL,33.6,0.16,0.0,48.0,0.0,1.3,4.2,23.3,23.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BARNSDALL,39.4,0.14,0.0,41.0,0.0,0.9,8.6,32.3,19.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,WYNONA,34.0,0.18,0.0,46.0,0.0,1.7,4.9,24.8,24.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BARNSDALL,36.8,0.17,0.0,43.0,0.0,0.9,5.0,27.6,22.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BARNSDALL,36.8,0.16,0.0,43.0,0.0,1.1,7.2,27.2,23.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BARNSDALL,37.8,0.15,0.0,39.0,0.0,1.0,7.9,32.1,21.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,QUAPAW,37.2,0.15,0.0,41.0,0.0,1.1,8.8,30.2,23.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"BARNSDALL,S",35.0,0.16,0.0,46.0,0.0,1.3,6.5,25.6,23.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"BARNSDALL,S",34.8,0.18,0.0,45.0,0.0,1.4,6.0,24.9,24.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,PERSHING,37.8,0.15,0.0,40.0,0.0,0.9,5.3,30.7,20.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,PERSHING,39.6,0.14,0.0,38.0,0.0,0.9,10.1,34.4,19.1,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BULLDOG,34.8,0.16,0.0,46.0,0.0,1.4,4.1,24.3,23.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BARNSDALL,33.2,0.16,0.0,50.0,0.0,1.5,1.8,20.5,25.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,AVANT,31.1,0.2,0.0,59.0,0.0,1.6,0.9,15.7,28.1,Mediano,Dulce (sweet) < 0.5%S
OKLAHOMA,BARNSDALL,34.2,0.17,0.0,47.0,0.0,1.4,4.0,25.3,22.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BARNSDALL,35.4,0.16,0.0,44.0,0.0,1.6,6.5,28.0,25.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,PERSHING,38.2,0.14,0.0,40.0,0.0,1.0,8.5,33.9,20.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BARNSDALL,32.7,0.19,0.0,51.0,0.0,1.3,2.8,20.1,26.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,QUAPAW,35.4,0.16,0.0,44.0,0.0,1.4,6.2,27.1,23.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,PERSHING,36.0,0.15,0.0,47.0,0.0,1.4,7.3,28.4,20.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BULLDOG,36.4,0.16,0.0,42.0,0.0,1.3,6.5,29.2,21.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,TONKAWA,40.9,0.1,0.0,36.0,0.0,0.8,9.0,37.5,15.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,TONKAWA,41.9,0.11,0.0,34.0,0.0,0.6,12.0,41.9,12.0,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,TONKAWA,44.1,0.1,0.0,35.0,0.0,0.5,16.2,42.6,12.0,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,TONKAWA,42.5,0.1,0.0,35.0,0.0,0.6,12.9,39.9,11.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,47.2,0.1,0.0,33.0,0.0,0.8,17.4,53.5,12.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,47.4,0.1,0.0,33.0,0.0,0.9,14.8,50.7,12.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,49.9,0.1,0.0,32.0,0.0,0.5,21.7,53.8,10.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,46.5,0.1,0.0,33.0,0.0,0.6,15.6,49.4,11.8,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,47.2,0.1,0.0,33.0,0.0,0.6,18.9,51.1,10.0,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,42.5,0.1,0.0,35.0,0.0,0.6,9.8,39.0,13.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,46.0,0.1,0.0,33.0,0.0,0.6,13.3,52.3,12.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,44.3,0.1,0.0,33.0,0.0,0.7,10.6,48.8,12.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,39.8,0.1,0.0,37.0,0.0,0.5,6.8,34.8,17.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,37.2,0.12,0.0,43.0,0.0,0.9,3.2,25.2,21.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,42.1,0.1,0.0,35.0,0.0,0.6,11.6,39.1,15.1,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,TUSKEGEE,39.4,0.18,0.0,42.0,0.0,1.4,11.4,32.8,23.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,TUSKEGEE,39.6,0.19,0.0,41.0,0.0,1.6,13.4,35.6,24.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,TUSKEGEE,41.1,0.16,0.0,39.0,0.0,1.5,13.8,34.8,23.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"TUSKEGEE,E",39.4,0.17,0.0,40.0,0.0,1.5,10.2,32.0,23.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,47.4,0.1,0.0,32.0,0.0,0.5,18.4,55.5,11.6,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,49.2,0.1,0.0,32.0,0.0,0.6,20.2,51.7,12.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,48.5,0.1,0.0,33.0,0.0,0.4,19.7,50.2,11.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,46.9,0.1,0.0,32.0,0.0,1.4,16.3,52.2,12.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,41.9,0.1,0.0,35.0,0.0,0.5,7.4,40.0,13.1,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,46.5,0.1,0.0,33.0,0.0,0.5,16.5,50.9,10.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GARBER,46.5,0.1,0.0,33.0,0.0,0.6,16.4,50.4,11.8,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,DILWORTH,40.9,0.11,0.0,36.0,0.0,0.8,10.3,36.6,15.0,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,DILWORTH,39.4,0.13,0.0,36.0,0.0,0.8,8.5,34.9,14.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,WATCHORN,39.6,0.16,0.0,37.0,0.0,0.9,8.3,37.7,14.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,WATCHORN,38.4,0.13,0.0,41.0,0.0,1.5,7.8,30.9,21.6,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,WATCHORN,39.0,0.16,0.0,36.0,0.0,0.9,7.1,36.9,13.8,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,WATCHORN,40.4,0.13,0.0,39.0,0.0,1.5,11.4,34.1,19.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,WATCHORN,39.4,0.12,0.0,39.0,0.0,1.5,10.8,34.1,21.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,TONKAWA,44.3,0.11,0.0,34.0,0.0,0.7,16.0,43.8,12.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,TONKAWA,43.8,0.1,0.0,34.0,0.0,0.7,14.3,42.9,12.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"BRAMAN,SE",42.1,0.24,0.0,37.0,0.0,1.2,13.8,38.0,17.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"BRAMAN,SE",41.7,0.24,0.0,37.0,0.0,1.4,12.1,36.1,18.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"BRAMAN,SE",42.1,0.24,0.0,38.0,0.0,1.3,13.1,36.8,18.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,DILWORTH,38.6,0.13,0.0,39.0,0.0,0.8,6.4,32.5,11.8,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,MOORE,37.6,0.15,0.0,46.0,0.0,1.3,6.9,29.4,28.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,MOORE,41.9,0.15,0.0,39.0,0.0,1.2,13.7,36.4,23.7,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,MOORE,38.2,0.15,0.0,44.0,0.0,1.3,7.1,31.2,26.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,MOORE,36.4,0.19,0.0,47.0,0.0,1.5,6.0,28.5,28.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,MOORE,38.2,0.2,0.0,43.0,0.0,1.6,10.1,31.2,25.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,MOORE,38.0,0.18,0.0,44.0,0.0,1.6,9.5,31.0,27.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,POLO,40.2,0.12,0.0,38.0,0.0,0.7,7.8,35.6,17.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,POLO,41.3,0.11,0.0,37.0,0.0,0.9,8.8,37.1,15.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,CHANDLER,40.4,0.21,0.0,40.0,0.0,1.3,9.7,32.4,21.0,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"CHANDLER,W",39.4,0.19,0.0,40.0,0.0,1.4,8.1,32.2,20.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"WELLSTON,N",40.9,0.19,0.0,39.0,0.0,1.4,10.2,33.2,20.9,Liviano,Dulce (sweet) < 0.5%S
KANSAS,RAHN,39.4,0.21,0.0,44.0,0.0,1.6,10.1,29.7,26.4,Liviano,Dulce (sweet) < 0.5%S
KANSAS,FROG HOLLOW,42.8,0.18,0.0,37.0,0.0,1.1,13.1,38.6,17.7,Liviano,Dulce (sweet) < 0.5%S
KANSAS,FROG HOLLOW,43.4,0.15,0.0,35.0,0.0,0.9,13.6,39.1,15.3,Liviano,Dulce (sweet) < 0.5%S
KANSAS,RAINBOW BEND,40.9,0.18,0.0,38.0,0.0,1.3,12.0,37.7,18.3,Liviano,Dulce (sweet) < 0.5%S
KANSAS,RAINBOW BEND,40.9,0.17,0.0,37.0,0.0,1.1,11.7,37.7,18.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,OLYMPIC,34.0,0.26,0.0,59.0,0.0,2.8,5.2,23.3,32.8,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,OLYMPIC,34.0,0.24,0.0,58.0,0.0,2.9,5.8,24.2,30.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,OLYMPIC,34.2,0.22,0.0,57.0,0.0,2.6,6.2,24.6,31.0,Liviano,Dulce (sweet) < 0.5%S
KANSAS,RAINBOW BEND,40.9,0.18,0.0,38.0,0.0,1.2,10.9,37.2,18.2,Liviano,Dulce (sweet) < 0.5%S
KANSAS,FOX-BUSH,38.4,0.18,0.0,41.0,0.0,1.4,6.2,32.8,20.0,Liviano,Dulce (sweet) < 0.5%S
KANSAS,FOX-BUSH,41.3,0.18,0.0,37.0,0.0,1.2,10.5,36.0,19.1,Liviano,Dulce (sweet) < 0.5%S
KANSAS,BURDEN,38.6,0.2,0.0,40.0,0.0,1.5,7.2,31.7,21.4,Liviano,Dulce (sweet) < 0.5%S
KANSAS,BURDEN,38.6,0.18,0.0,40.0,0.0,1.5,7.9,33.1,20.4,Liviano,Dulce (sweet) < 0.5%S
KANSAS,NOT KNOWN,32.8,0.28,0.0,64.0,0.0,2.6,2.1,20.3,29.8,Liviano,Dulce (sweet) < 0.5%S
KANSAS,HAVERHILL,38.4,0.21,0.0,41.0,0.0,1.3,6.3,33.2,19.4,Liviano,Dulce (sweet) < 0.5%S
KANSAS,HAVERHILL,39.4,0.21,0.0,39.0,0.0,1.4,8.6,34.0,20.4,Liviano,Dulce (sweet) < 0.5%S
KANSAS,SMOCK-SLUSS,40.2,0.23,0.0,39.0,0.0,1.7,11.4,34.8,21.1,Liviano,Dulce (sweet) < 0.5%S
KANSAS,FOX-BUSH,38.6,0.2,0.0,39.0,0.0,1.4,7.0,33.4,19.3,Liviano,Dulce (sweet) < 0.5%S
KANSAS,SMOCK-SLUSS,38.4,0.26,0.0,41.0,0.0,2.3,9.7,31.7,23.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,HICKORY CREEK,37.0,0.21,0.0,47.0,0.0,2.3,9.4,28.3,24.8,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,POND CREEK,26.1,0.33,0.0,150.0,0.0,2.8,0.0,5.7,39.0,Mediano,Dulce (sweet) < 0.5%S
OKLAHOMA,GUTHRIE,45.4,0.12,0.0,33.0,0.0,0.5,15.8,43.6,12.7,Liviano,Dulce (sweet) < 0.5%S
KANSAS,PORTER,33.6,0.41,0.0,50.0,0.0,1.9,1.7,20.1,22.5,Liviano,Dulce (sweet) < 0.5%S
KANSAS,MOLINE,28.7,0.38,0.0,98.0,0.0,2.5,0.0,3.5,28.5,Mediano,Dulce (sweet) < 0.5%S
KANSAS,MOLINE,32.8,0.33,0.0,49.0,0.0,1.8,0.9,11.6,22.1,Liviano,Dulce (sweet) < 0.5%S
KANSAS,DENTON,35.0,0.2,0.0,48.0,0.0,2.1,5.4,25.7,26.2,Liviano,Dulce (sweet) < 0.5%S
KANSAS,HITTLE,39.4,0.23,0.0,37.0,0.0,1.4,6.1,33.9,15.1,Liviano,Dulce (sweet) < 0.5%S
KANSAS,HITTLE,39.4,0.22,0.0,39.0,0.0,1.7,11.8,35.3,18.5,Liviano,Dulce (sweet) < 0.5%S
KANSAS,HITTLE,39.0,0.21,0.0,37.0,0.0,1.5,6.7,35.4,15.7,Liviano,Dulce (sweet) < 0.5%S
KANSAS,BELLAIRS,23.7,0.54,0.0,200.0,0.0,4.2,0.0,1.3,37.9,Mediano,Agrio (sour) ≥ 0.5%S
KANSAS,BELLAIRS,23.8,0.58,0.0,195.0,0.0,4.2,0.0,1.7,37.2,Mediano,Agrio (sour) ≥ 0.5%S
KANSAS,COFFEYVILLE,24.2,0.58,0.0,175.0,0.0,2.6,0.0,3.0,37.0,Mediano,Agrio (sour) ≥ 0.5%S
MICHIGAN,PLYM,21.6,3.22,0.0,590.0,0.0,8.5,3.5,14.4,45.3,Pesado,Agrio (sour) ≥ 0.5%S
TEXAS,FRIENDSWOOD,29.5,0.0,0.0,0.0,0.0,0.0,3.0,14.5,62.4,Mediano,Dulce (sweet) < 0.5%S
OKLAHOMA,CUSHING,38.2,0.44,0.0,43.0,0.0,2.2,11.0,31.6,25.1,Liviano,Dulce (sweet) < 0.5%S
KANSAS,MCLOUTH,22.8,0.89,0.0,1200.0,0.0,8.5,1.3,10.8,49.4,Mediano,Agrio (sour) ≥ 0.5%S
OKLAHOMA,"LAMONT,SE",44.9,0.1,0.0,32.0,0.0,0.2,8.2,49.3,7.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,"LAMONT,SE",32.3,0.1,0.0,53.0,0.0,0.8,0.0,0.8,19.1,Liviano,Dulce (sweet) < 0.5%S
TEXAS,OPELIKA,61.0,0.0,0.0,0.0,0.0,0.0,30.9,73.5,7.1,Liviano,Dulce (sweet) < 0.5%S
TEXAS,FOSTER,35.8,0.0,0.0,40.0,0.0,1.9,10.7,32.6,24.1,Liviano,Dulce (sweet) < 0.5%S
TEXAS,GRAPELAND,57.7,0.0,0.0,0.0,0.0,0.0,26.9,81.0,3.6,Liviano,Dulce (sweet) < 0.5%S
TEXAS,GRAPELAND,63.9,0.0,0.0,0.0,0.0,0.0,45.5,88.1,3.1,Liviano,Dulce (sweet) < 0.5%S
TEXAS,OPELIKA,60.0,0.0,0.0,0.0,0.0,0.0,25.8,71.7,7.0,Liviano,Dulce (sweet) < 0.5%S
TEXAS,OPELIKA,59.7,0.0,0.0,0.0,0.0,0.0,26.2,71.2,7.6,Liviano,Dulce (sweet) < 0.5%S
KANSAS,HUMBOLDT-CHANUTE,32.3,0.25,0.0,56.0,0.0,2.9,3.7,22.2,28.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,PEARSON JUNCTION,38.0,0.15,0.0,41.0,0.0,1.0,9.0,29.4,21.0,Liviano,Dulce (sweet) < 0.5%S
KANSAS,HUMBOLDT-CHANUTE,30.8,0.26,0.0,63.0,0.0,2.8,0.8,19.0,31.5,Mediano,Dulce (sweet) < 0.5%S
OKLAHOMA,TECUMSEH LAKE,38.4,0.2,0.0,46.0,0.0,1.6,10.4,28.2,29.5,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,PEARSON JUNCTION,38.8,0.13,0.0,39.0,0.0,1.0,8.9,29.3,21.3,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,PECK,20.2,1.13,0.0,390.0,0.0,9.1,4.1,11.9,48.5,Pesado,Agrio (sour) ≥ 0.5%S
TEXAS,HENDERSON,40.4,0.0,0.0,0.0,0.0,0.0,13.4,37.3,43.6,Liviano,Dulce (sweet) < 0.5%S
ILLINOIS,DALE CONS.,40.0,0.0,0.0,0.0,0.0,0.0,12.4,33.1,49.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BILLINGS,44.5,0.0,0.0,0.0,0.0,0.0,14.2,38.8,40.3,Liviano,Dulce (sweet) < 0.5%S
WYOMING,LANCE CREEK,42.1,0.0,0.0,0.0,0.0,0.0,11.1,33.9,47.3,Liviano,Dulce (sweet) < 0.5%S
WYOMING,LANCE CREEK,44.1,0.0,0.0,0.0,0.0,0.0,12.7,36.9,43.9,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BURBANK,40.2,0.2,0.0,43.0,0.0,1.1,10.0,31.1,23.9,Liviano,Dulce (sweet) < 0.5%S
TEXAS,SHIPLEY,30.6,0.29,0.0,115.0,0.0,2.4,0.9,7.7,46.6,Mediano,Dulce (sweet) < 0.5%S
NEW MEXICO,RHODES,38.2,0.94,0.0,39.0,0.0,1.8,11.7,35.6,20.6,Liviano,Agrio (sour) ≥ 0.5%S
NEW MEXICO,EAVES,28.7,1.47,0.0,60.0,0.0,3.1,4.5,22.6,29.1,Mediano,Agrio (sour) ≥ 0.5%S
NEW MEXICO,JALMAT,28.6,1.55,0.0,60.0,0.0,2.9,4.0,22.7,28.5,Mediano,Agrio (sour) ≥ 0.5%S
NEW MEXICO,JALMAT,27.3,1.58,0.0,67.0,0.0,3.3,1.6,19.6,30.3,Mediano,Agrio (sour) ≥ 0.5%S
NEW MEXICO,"EUNICE,S",32.1,1.34,0.0,47.0,0.0,2.6,8.5,29.3,22.5,Liviano,Agrio (sour) ≥ 0.5%S
NEW MEXICO,LOVINGTON,36.2,1.31,0.0,38.0,0.0,2.4,12.6,36.5,18.7,Liviano,Agrio (sour) ≥ 0.5%S
ILLINOIS,UNION COUNTY,22.6,0.42,0.0,46.0,0.0,3.3,1.2,13.4,16.3,Mediano,Dulce (sweet) < 0.5%S
ILLINOIS,DUPO,33.2,0.58,0.0,65.0,0.0,3.3,4.3,18.6,34.8,Liviano,Agrio (sour) ≥ 0.5%S
TEXAS,NEW YORK CITY,46.5,0.1,0.0,33.0,0.0,0.3,17.5,45.8,11.7,Liviano,Dulce (sweet) < 0.5%S
ARKANSAS,SCHULER,33.2,1.54,0.164,54.0,0.0,4.0,9.3,27.0,32.1,Liviano,Agrio (sour) ≥ 0.5%S
OKLAHOMA,OKLAHOMA CITY,37.8,0.11,0.0,47.0,0.0,1.2,7.9,26.9,31.0,Liviano,Dulce (sweet) < 0.5%S
TEXAS,WEBSTER (FRIENDSWOOD),29.3,0.16,0.0,64.0,0.0,1.5,2.6,14.1,24.2,Mediano,Dulce (sweet) < 0.5%S
LOUISIANA,GOLDEN MEADOWS,37.8,0.1,0.0,43.0,0.0,0.4,3.2,19.9,17.1,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,SHIRA,50.1,0.1,0.0,35.0,0.0,0.3,16.2,43.3,14.5,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,HOOVER,46.5,0.1,0.0,36.0,0.0,0.2,8.9,37.6,16.9,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,NICKLEVILLE,46.7,0.1,0.0,36.0,0.0,0.3,10.5,41.9,16.4,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,MAPLE SHADE,41.7,0.1,0.0,42.0,0.0,0.4,0.4,27.0,21.2,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,BYRAM,43.8,0.1,0.0,39.0,0.0,0.3,4.6,33.3,19.6,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,CHERRY VALLEY,36.8,0.1,0.0,53.0,0.0,0.4,2.3,17.8,27.5,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,BULLION-CLINTONVILLE,34.0,0.1,0.0,77.0,0.0,0.7,1.3,12.8,35.1,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,FERN,48.8,0.1,0.0,34.0,0.0,0.2,13.2,46.7,13.8,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,OIL CITY,37.2,0.1,0.0,50.0,0.0,0.5,2.8,21.4,28.2,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,VICTORY-BRADENSBURG,36.2,0.1,0.0,57.0,0.0,0.5,2.5,16.8,28.0,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,FOSTER,36.4,0.1,0.0,58.0,0.0,0.6,4.4,17.5,30.6,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,BULLION-CLINTONVILLE,33.2,0.1,0.0,81.0,0.0,0.7,1.7,10.2,37.0,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,BULLION-CLINTONVILLE,35.0,0.1,0.0,63.0,0.0,0.5,1.9,15.7,31.8,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,BULLION-CLINTONVILLE,38.4,0.1,0.0,49.0,0.0,0.5,2.4,21.6,27.5,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,FRANKLIN,32.3,0.1,0.0,91.0,0.0,0.7,1.8,4.4,38.1,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,BULLEY HILL,34.4,0.1,0.0,72.0,0.0,0.6,0.6,11.6,33.6,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,VICTORY-BRADENSBURG,35.2,0.1,0.0,57.0,0.0,0.6,3.8,18.9,32.4,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,PETROLEUM CENTER,35.6,0.1,0.0,59.0,0.0,0.5,1.9,16.4,31.4,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,PETROLEUM CENTER,47.2,0.1,0.0,36.0,0.0,0.3,14.8,40.9,18.2,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,ASBURY CHAPEL,43.2,0.1,0.0,40.0,0.0,0.3,5.3,32.4,20.2,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,TRIUMPH,48.3,0.1,0.0,35.0,0.0,0.3,14.1,42.5,15.7,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,FAGUNDUS,46.3,0.1,0.0,36.0,0.0,0.4,11.5,42.0,18.1,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,TRIUMPH STREAK,43.0,0.1,0.0,39.0,0.0,0.4,5.4,34.2,21.2,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,PINEVILLE,47.4,0.1,0.0,36.0,0.0,0.2,11.8,41.4,16.3,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,NOT KNOWN,46.5,0.1,0.0,36.0,0.0,0.3,11.6,40.4,17.7,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,FOSTER,42.8,0.1,0.0,40.0,0.0,0.4,7.2,33.5,21.6,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,HAMILTON CORNERS,43.8,0.1,0.0,38.0,0.0,0.4,4.8,36.1,18.0,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,CHERRY TREE,43.6,0.1,0.0,39.0,0.0,0.4,9.1,34.8,21.5,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,PLEASANTVILLE,46.7,0.1,0.0,36.0,0.0,0.3,10.3,39.7,17.4,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,PLEASANTVILLE,44.9,0.1,0.0,38.0,0.0,0.3,11.3,37.9,21.7,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,PLEASANTVILLE,49.0,0.1,0.0,35.0,0.0,0.4,14.5,42.2,17.8,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,RATTLESNAKE,46.7,0.1,0.0,36.0,0.0,0.2,11.9,40.9,17.0,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,SHAMBURG,42.3,0.1,0.0,41.0,0.0,0.3,5.3,31.6,23.3,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,PLEASANTVILLE,42.3,0.1,0.0,41.0,0.0,0.3,3.0,30.2,21.5,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,PLEASANTVILLE,41.9,0.1,0.0,41.0,0.0,0.4,1.4,28.4,22.0,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,SELKIRK,43.2,0.1,0.0,39.0,0.0,0.3,3.2,33.5,19.9,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,GOODWILL HILL,41.9,0.1,0.0,41.0,0.0,0.5,4.2,31.4,23.7,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,WATSON FLATS,41.1,0.1,0.0,43.0,0.0,0.4,2.2,27.3,21.5,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,GOODWILL HILL,44.9,0.1,0.0,38.0,0.0,0.4,9.8,36.9,21.1,Liviano,Dulce (sweet) < 0.5%S
PENNSYLVANIA,MUSIC MOUNTAIN,45.4,0.1,0.0,39.0,0.0,0.5,12.2,34.0,21.5,Liviano,Dulce (sweet) < 0.5%S
KANSAS,BURNETT,38.0,0.45,0.0,46.0,0.0,3.9,11.3,32.0,27.2,Liviano,Dulce (sweet) < 0.5%S
KANSAS,BURNETT,32.3,0.53,0.0,63.0,0.0,4.1,5.5,22.9,31.3,Liviano,Agrio (sour) ≥ 0.5%S
KANSAS,BEMIS-SHUTTS,35.8,0.5,0.0,48.0,0.0,3.4,9.1,29.2,27.2,Liviano,Agrio (sour) ≥ 0.5%S
KANSAS,RAY,32.3,0.58,0.0,70.0,0.0,5.5,7.1,25.6,32.7,Liviano,Agrio (sour) ≥ 0.5%S
