STCTNAME,FIELD_NAME,API_CRUDE,SRC,CRN,SU100,POUR_POINT,CAR_CR_WT,LT_GAS_VOL,GAS_NP_VOL,RESDUM_VOL,TIPO_CRUDO,CLASE_AZUFRE
KENTUCKY,RAGLAND,25.4,0.31,0.0,0.0,0.0,0.0,2.3,12.6,42.7,Mediano,Dulce (sweet) < 0.5%S
KENTUCKY,OLYMPIA,34.4,0.23,0.0,65.0,5.0,0.0,0.0,11.2,30.5,Liviano,Dulce (sweet) < 0.5%S
KENTUCKY,LAWRENCE COUNTY,38.0,0.21,0.0,43.0,5.0,0.0,10.5,33.1,21.7,Liviano,Dulce (sweet) < 0.5%S
KENTUCKY,"KENTUCKY,E COMP.",38.0,0.23,0.0,0.0,0.0,0.0,12.5,35.4,25.0,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,"WEST VIRGINIA,NW COMP.",44.3,0.28,0.0,0.0,0.0,0.0,10.6,38.3,19.9,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,"WEST VIRGINIA,NW COMP.",44.1,0.24,0.0,0.0,0.0,0.0,10.5,37.7,19.8,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,HARRISON COUNTY,43.6,0.2,0.0,0.0,0.0,0.0,6.6,29.5,23.9,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,HARRISON COUNTY,45.4,0.27,0.0,0.0,0.0,0.0,7.6,33.4,20.3,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,"WEST VIRGINIA,NW COMP.",44.3,0.1,0.0,0.0,0.0,0.0,6.8,31.3,21.5,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,WETZEL COUNTY,44.5,0.11,0.0,0.0,0.0,0.0,8.4,34.6,20.5,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,HANCOCK COUNTY,49.2,0.84,0.0,0.0,0.0,0.0,18.1,46.0,16.6,Liviano,Agrio (sour) ≥ 0.5%S
WEST VIRGINIA,"WEST VIRGINIA,NW COMP.",43.6,0.1,0.0,0.0,0.0,0.0,8.7,34.0,21.1,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,"WEST VIRGINIA,NW COMP.",44.7,0.09,0.0,0.0,0.0,0.0,9.2,37.1,19.5,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,"WEST VIRGINIA,NW COMP.",44.5,0.09,0.0,0.0,5.0,0.0,5.0,35.8,16.8,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,CABIN CREEK,46.0,0.19,0.0,0.0,5.0,0.0,12.2,40.5,14.4,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,KELLY CREEK,45.6,0.11,0.0,0.0,30.0,0.0,12.5,39.6,14.8,Liviano,Dulce (sweet) < 0.5%S
WEST VIRGINIA,BLUE CREEK,43.2,0.11,0.0,0.0,0.0,0.0,10.9,38.2,15.9,Liviano,Dulce (sweet) < 0.5%S
CALIFORNIA,COALINGA EASTSIDE,29.3,0.67,0.0,56.0,10.0,0.0,1.8,19.8,25.8,Mediano,Agrio (sour) ≥ 0.5%S
CALIFORNIA,COALINGA EASTSIDE,22.5,0.71,0.0,105.0,5.0,0.0,1.0,9.2,34.5,Mediano,Agrio (sour) ≥ 0.5%S
CALIFORNIA,MIDWAY-SUNSET,29.7,0.73,0.0,0.0,5.0,0.0,3.6,17.0,33.8,Mediano,Agrio (sour) ≥ 0.5%S
CALIFORNIA,MONTEBELLO,17.3,0.96,0.0,1170.0,5.0,0.0,0.0,0.0,50.9,Pesado,Agrio (sour) ≥ 0.5%S
CALIFORNIA,MONTEBELLO,16.8,2.19,0.0,1150.0,5.0,0.0,0.7,6.7,50.1,Pesado,Agrio (sour) ≥ 0.5%S
CALIFORNIA,WHITTIER,23.0,0.56,0.0,104.0,5.0,0.0,0.5,18.8,34.3,Mediano,Agrio (sour) ≥ 0.5%S
